E_mm_a,E_mm_n_left,E_mm_n_right
-1.6290000000000397,-1.99,2.5
-1.6280000000000399,-1.99,2.5
-1.62700000000004,-1.99,2.5
-1.62600000000004,-1.99,2.5
-1.6250000000000402,-1.99,2.5
-1.6240000000000403,-1.99,2.5
-1.6230000000000404,-1.99,2.5
-1.6220000000000405,-1.99,2.5
-1.6210000000000406,-1.99,2.5
-1.6200000000000407,-1.99,2.5
-1.6190000000000409,-1.99,2.5
-1.618000000000041,-1.99,2.5
-1.617000000000041,-1.99,2.5
-1.6160000000000412,-1.99,2.5
-1.6150000000000413,-1.99,2.5
-1.6140000000000414,-1.99,2.5
-1.6130000000000415,-1.99,2.5
-1.6120000000000416,-1.99,2.5
-1.6110000000000417,-1.99,2.5
-1.6100000000000418,-1.99,2.5
-1.609000000000042,-1.99,2.5
-1.608000000000042,-1.99,2.5
-1.6070000000000422,-1.99,2.5
-1.6060000000000423,-1.99,2.5
-1.6050000000000424,-1.99,2.5
-1.6040000000000425,-1.99,2.5
-1.6030000000000426,-1.99,2.5
-1.6020000000000427,-1.99,2.5
-1.6010000000000428,-1.99,2.5
-1.600000000000043,-1.99,2.5
-1.599000000000043,-1.99,2.5
-1.5980000000000432,-1.99,2.5
-1.5970000000000433,-1.99,2.5
-1.5960000000000434,-1.99,2.5
-1.5950000000000435,-1.99,2.5
-1.5940000000000436,-1.99,2.5
-1.5930000000000437,-1.99,2.5
-1.5920000000000438,-1.99,2.5
-1.591000000000044,-1.99,2.5
-1.590000000000044,-1.99,2.5
-1.5890000000000442,-1.99,2.5
-1.5880000000000443,-1.99,2.5
-1.5870000000000444,-1.99,2.5
-1.5860000000000445,-1.99,2.5
-1.5850000000000446,-1.99,2.5
-1.5840000000000447,-1.99,2.5
-1.5830000000000448,-1.99,2.5
-1.582000000000045,-1.99,2.5
-1.581000000000045,-1.99,2.5
-1.5800000000000451,-1.99,2.5
-1.5790000000000453,-1.99,2.5
-1.5780000000000454,-1.99,2.5
-1.5770000000000455,-1.99,2.5
-1.5760000000000456,-1.99,2.5
-1.5750000000000457,-1.99,2.5
-1.5740000000000458,-1.99,2.5
-1.573000000000046,-1.99,2.5
-1.572000000000046,-1.99,2.5
-1.5710000000000461,-1.99,2.5
-1.5700000000000462,-1.99,2.5
-1.5690000000000464,-1.99,2.5
-1.5680000000000465,-1.99,2.5
-1.5670000000000466,-1.99,2.5
-1.5660000000000467,-1.99,2.5
-1.5650000000000468,-1.99,2.5
-1.564000000000047,-1.99,2.5
-1.563000000000047,-1.99,2.5
-1.5620000000000471,-1.99,2.5
-1.5610000000000472,-1.99,2.5
-1.5600000000000473,-1.99,2.5
-1.5590000000000475,-1.99,2.5
-1.5580000000000476,-1.99,2.5
-1.5570000000000477,-1.99,2.5
-1.5560000000000478,-1.99,2.5
-1.555000000000048,-1.99,2.5
-1.554000000000048,-1.99,2.5
-1.5530000000000481,-1.99,2.5
-1.5520000000000482,-1.99,2.5
-1.5510000000000483,-1.99,2.5
-1.5500000000000485,-1.99,2.5
-1.5490000000000486,-1.99,2.5
-1.5480000000000487,-1.99,2.5
-1.5470000000000488,-1.99,2.5
-1.546000000000049,-1.99,2.5
-1.545000000000049,-1.99,2.5
-1.544000000000049,-1.99,2.5
-1.5430000000000492,-1.99,2.5
-1.5420000000000493,-1.99,2.5
-1.5410000000000494,-1.99,2.5
-1.5400000000000496,-1.99,2.5
-1.5390000000000497,-1.99,2.5
-1.5380000000000498,-1.99,2.5
-1.5370000000000499,-1.99,2.5
-1.53600000000005,-1.99,2.5
-1.53500000000005,-1.99,2.5
-1.5340000000000502,-1.99,2.5
-1.5330000000000503,-1.99,2.5
-1.5320000000000504,-1.99,2.5
-1.5310000000000505,-1.99,2.5
-1.5300000000000507,-1.99,2.5
-1.5290000000000508,-1.99,2.5
-1.5280000000000509,-1.99,2.5
-1.527000000000051,-1.99,2.5
-1.526000000000051,-1.99,2.5
-1.5250000000000512,-1.99,2.5
-1.5240000000000513,-1.99,2.5
-1.5230000000000514,-1.99,2.5
-1.5220000000000515,-1.99,2.5
-1.5210000000000516,-1.99,2.5
-1.5200000000000518,-1.99,2.5
-1.5190000000000519,-1.99,2.5
-1.518000000000052,-1.99,2.5
-1.517000000000052,-1.99,2.5
-1.5160000000000522,-1.99,2.5
-1.5150000000000523,-1.99,2.5
-1.5140000000000524,-1.99,2.5
-1.5130000000000525,-1.99,2.5
-1.5120000000000526,-1.99,2.5
-1.5110000000000527,-1.99,2.5
-1.5100000000000529,-1.99,2.5
-1.509000000000053,-1.99,2.5
-1.508000000000053,-1.99,2.5
-1.5070000000000532,-1.99,2.5
