,i1,i2,dmu,mu_a1,mu_b1,mu_c1,phi_a1,phi_b1,phi_c1,mu_a2,mu_b2,mu_c2,phi_a2,phi_b2,phi_c2
132693,47764,3311,0.0546992057739853,-0.0820592543857114,-60.49579131268874,-4.463097788168337,0.1949938703146497,0.5264214046822743,0.2785847250030761,-0.0333464891352985,-60.487917732646935,-4.486700253109277,0.8196214248162773,0.1451505016722408,0.0352280735114818
132694,47765,3433,0.0575433912966157,-0.0814757827314289,-60.28067792044554,-4.476247677581931,0.1965710562521672,0.5264214046822743,0.2770075390655585,-0.033733547694445,-60.299767176508496,-4.502084108809013,0.8180162973568528,0.1468227424749164,0.0351609601682308
132695,47766,4047,0.0486849562470811,-0.0809566895439013,-60.06556452820236,-4.489429985251997,0.1981482421896846,0.5264214046822743,0.2754303531280411,-0.035390313007549,-60.05038749933603,-4.497404199252027,0.8071718772720664,0.1551839464882943,0.0376441762396392
132696,47767,4172,0.0471989243391992,-0.0805009540124708,-59.85045113595916,-4.502645083518397,0.1997254281272021,0.5264214046822743,0.2738531671905235,-0.0358118436789811,-59.86171967551026,-4.512825549753497,0.8055723425912461,0.1568561872909699,0.037571470117784
132697,47768,4297,0.0593856282783639,-0.0801075794151948,-59.63533774371598,-4.515893351172823,0.2013026140647196,0.5264214046822743,0.2722759812530061,-0.0362450981746075,-59.67341451488568,-4.528258426292915,0.8039728079104261,0.1585284280936454,0.0374987639959283
132698,47769,4924,0.0448333840813019,-0.0797755923668463,-59.42022435147277,-4.529175173608731,0.2028798000022371,0.5264214046822743,0.2706987953154885,-0.0379109754938181,-59.404181216880055,-4.529238535238857,0.7931955011688906,0.1668896321070234,0.039914866724086
132699,47770,5050,0.0424305032880129,-0.0795040420960218,-59.2051109592296,-4.542490942975644,0.2044569859397546,0.5264214046822743,0.2691216093779711,-0.0383815477635335,-59.21532653805705,-4.544711307443189,0.7916015592666749,0.1685618729096989,0.0398365678236261
132700,47771,6070,0.0484662444541265,-0.0792919997500338,-58.989997566986425,-4.555841058337999,0.206034171877272,0.5264214046822743,0.2675444234404537,-0.0406746453440941,-59.0030881239648,-4.52964346096402,0.7733914273889554,0.1819397993311036,0.0446687732799409
132701,47772,5813,0.0535713833270658,-0.0791385577263057,-58.77488417474322,-4.5692259258386825,0.2076113578147895,0.5264214046822743,0.2659672375029361,-0.0405631445940187,-58.73784339392289,-4.566093647200248,0.7792974239661749,0.1785953177257525,0.0421072583080726
132702,47773,5942,0.0395295235366062,-0.0790428290290627,-58.55977078250005,-4.582645958867436,0.209188543752307,0.5264214046822743,0.2643900515654187,-0.0410859125308911,-58.54877967491253,-4.581620641852414,0.7777090748425632,0.1802675585284281,0.0420233666290086
132703,47774,6071,0.0404462865222345,-0.0790039466501912,-58.34465739025687,-4.596101578234299,0.2107657296898245,0.5264214046822743,0.2628128656279013,-0.0416209695898973,-58.360061786182456,-4.597159739713481,0.7761207257189516,0.1819397993311036,0.0419394749499446
132704,47775,7111,0.0460479252197777,-0.0790210629731746,-58.12954399801366,-4.609593212348264,0.2123429156273419,0.5264214046822743,0.2612356796903837,-0.0439656397155675,-58.106871894254425,-4.590163739159142,0.7580448205277345,0.1953177257525083,0.0466374537197571
132705,47776,7244,0.0386940026744084,-0.0790933491990806,-57.91443060577049,-4.623121297401347,0.2139201015648594,0.5264214046822743,0.2596584937528663,-0.0445510863298809,-57.91602780696186,-4.6057573443031465,0.7564676569613314,0.1969899665551839,0.0465423764834845
132706,47777,6981,0.0433740362237546,-0.0792199947936391,-57.699317213527294,-4.636686277558275,0.2154972875023769,0.5264214046822743,0.2580813078153487,-0.0445462182196594,-57.67332629004292,-4.638559278590535,0.762312132973904,0.1936454849498327,0.0440423820762632
132707,47778,7112,0.0344736992099876,-0.0794002069544723,-57.48420382128411,-4.650288605151965,0.2170744734398944,0.5264214046822743,0.2565041218778313,-0.045149546977086,-57.48473005811189,-4.65416820605093,0.7607293766288967,0.1953177257525083,0.0439528976185949
132708,47779,7245,0.0439447161670501,-0.07963321009762,-57.26909042904092,-4.663928740885049,0.2186516593774118,0.5264214046822743,0.2549269359403138,-0.045765490836888,-57.29647229191541,-4.669789564769228,0.7591466202838894,0.1969899665551839,0.0438634131609266
132709,47780,6982,0.0449536730967007,-0.079918245362506,-57.05397703679773,-4.677607154037651,0.2202288453149293,0.5264214046822743,0.2533497500027963,-0.0457119133812519,-57.04859274578016,-4.7062736673853065,0.7650022818536705,0.1936454849498327,0.0413522331964967
132973,48044,452,0.0962880207959652,-0.1132882262906547,-64.39411269029208,-4.22566284695373,0.1628740953680607,0.5280936454849499,0.3090322591469894,-0.0268066916641336,-64.35554658823904,-4.20819908762532,0.8611310499882553,0.1050167224080267,0.0338522276037179
