TE | M_tot | aa | na | an | nn | S_tot | aa | na | an | nn | timestep 
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 119
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 120
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 121
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 122
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 123
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 124
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 125
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 126
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 127
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 128
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 129
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 2 | 0 | 0 | 130
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 131
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 132
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 133
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 134
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 135
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 136
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 137
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 138
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 139
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 140
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 141
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 142
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 143
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 144
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 145
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 146
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 147
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 148
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 149
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 150
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 151
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 152
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 153
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 154
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 155
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 156
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 157
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 158
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 159
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 160
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 161
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 162
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 163
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 164
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 165
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 166
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 167
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 168
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 169
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 170
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 171
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 172
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 173
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 174
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 175
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 176
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 3 | 0 | 0 | 177
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 4 | 0 | 0 | 178
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 4 | 0 | 0 | 179
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 180
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 181
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 182
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 183
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 3 | 2 | 0 | 184
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 2 | 2 | 0 | 185
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 2 | 2 | 0 | 186
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 2 | 2 | 0 | 187
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 2 | 1 | 0 | 188
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 2 | 1 | 0 | 189
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 2 | 1 | 0 | 190
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 2 | 1 | 0 | 191
-88.4 | 8 | 8 | 0 | 0 | 0 | 32 | 29 | 2 | 1 | 0 | 192
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 193
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 194
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 195
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 196
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 197
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 198
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 199
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 200
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 201
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 202
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 203
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 204
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 205
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 206
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 207
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 208
-88 | 8 | 8 | 0 | 0 | 0 | 32 | 28 | 3 | 1 | 0 | 209
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 3 | 2 | 0 | 210
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 3 | 2 | 0 | 211
-87.6 | 9 | 9 | 0 | 0 | 0 | 30 | 24 | 4 | 2 | 0 | 212
-88 | 9 | 9 | 0 | 0 | 0 | 30 | 25 | 4 | 1 | 0 | 213
-88 | 9 | 9 | 0 | 0 | 0 | 30 | 25 | 4 | 1 | 0 | 214
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 215
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 216
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 217
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 218
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 219
-87.6 | 8 | 8 | 0 | 0 | 0 | 32 | 27 | 4 | 1 | 0 | 220
-87.6 | 7 | 7 | 0 | 0 | 0 | 34 | 30 | 3 | 1 | 0 | 221
-87.6 | 7 | 7 | 0 | 0 | 0 | 34 | 30 | 3 | 1 | 0 | 222
-88.4 | 9 | 9 | 0 | 0 | 0 | 30 | 26 | 3 | 1 | 0 | 223
-88.4 | 9 | 9 | 0 | 0 | 0 | 30 | 26 | 3 | 1 | 0 | 224
-88 | 9 | 9 | 0 | 0 | 0 | 30 | 25 | 3 | 2 | 0 | 225
-88 | 9 | 9 | 0 | 0 | 0 | 30 | 25 | 3 | 2 | 0 | 226
-88 | 9 | 9 | 0 | 0 | 0 | 30 | 25 | 3 | 2 | 0 | 227
-87.6 | 9 | 9 | 0 | 0 | 0 | 30 | 24 | 3 | 3 | 0 | 228
-87.6 | 9 | 9 | 0 | 0 | 0 | 30 | 24 | 3 | 3 | 0 | 229
-90 | 10 | 10 | 0 | 0 | 0 | 28 | 27 | 1 | 0 | 0 | 230
-90 | 10 | 10 | 0 | 0 | 0 | 28 | 27 | 1 | 0 | 0 | 231
-90 | 10 | 10 | 0 | 0 | 0 | 28 | 27 | 1 | 0 | 0 | 232
-90 | 10 | 10 | 0 | 0 | 0 | 28 | 27 | 1 | 0 | 0 | 233
-90 | 10 | 10 | 0 | 0 | 0 | 28 | 27 | 1 | 0 | 0 | 234
-90 | 10 | 10 | 0 | 0 | 0 | 28 | 27 | 1 | 0 | 0 | 235
-90 | 10 | 10 | 0 | 0 | 0 | 28 | 27 | 1 | 0 | 0 | 236
-90 | 10 | 10 | 0 | 0 | 0 | 28 | 27 | 1 | 0 | 0 | 237
-90 | 10 | 10 | 0 | 0 | 0 | 28 | 27 | 1 | 0 | 0 | 238
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 1 | 1 | 0 | 239
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 1 | 1 | 0 | 240
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 241
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 242
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 243
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 244
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 245
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 246
-89.6 | 8 | 8 | 0 | 0 | 0 | 32 | 32 | 0 | 0 | 0 | 247
-89.2 | 8 | 8 | 0 | 0 | 0 | 32 | 31 | 1 | 0 | 0 | 248
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 249
-88.8 | 8 | 8 | 0 | 0 | 0 | 32 | 30 | 2 | 0 | 0 | 250
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 3 | 0 | 0 | 251
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 3 | 0 | 0 | 252
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 3 | 0 | 0 | 253
-89.2 | 10 | 10 | 0 | 0 | 0 | 28 | 25 | 2 | 1 | 0 | 254
-89.2 | 10 | 10 | 0 | 0 | 0 | 28 | 25 | 2 | 1 | 0 | 255
-88.8 | 10 | 10 | 0 | 0 | 0 | 28 | 24 | 3 | 1 | 0 | 256
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 257
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 258
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 259
-90 | 12 | 12 | 0 | 0 | 0 | 24 | 21 | 2 | 1 | 0 | 260
